Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Churned,Signup_Quarter
26.0,Other,Australia,Melbourne,6.9,13.0,,6.2,64.2,4.0,-7.0,182.91,16.0,18.5,1.8,28.9,5.0,3.0,,,5.0,1109.32,,0,Q3
43.0,Female,France,Paris,3.2,16.0,38.8,12.3,54.9,5.0,-4.0,123.9,29.0,,9.7,35.0,5.0,5.0,42.3,23.6,2.0,1550.38,3222.0,0,Q3
27.0,Male,USA,Chicago,2.4,5.0,20.1,6.9,64.0,,-5.0,190.91,7.0,12.0,9.0,11.5,7.0,1.0,26.8,14.5,5.0,3228.56,964.0,1,Q3
43.0,Male,Canada,Calgary,8.6,10.0,26.7,3.6,84.4,,-6.0,107.0,16.0,29.6,7.6,11.5,3.0,3.0,7.4,18.4,1.0,822.32,1019.0,0,Q3
38.0,Female,USA,Phoenix,3.9,6.0,20.1,6.9,51.4,3.0,-10.0,133.93,154.0,49.4,8.9,14.7,9.0,6.0,22.7,9.1,2.0,818.24,1657.0,1,Q1
39.0,Male,USA,Chicago,3.0,27.0,58.6,,30.2,5.0,-10.0,99.93,19.0,70.6,4.6,55.2,3.0,8.0,66.2,42.3,1.0,2075.66,3716.0,0,Q3
33.0,Male,France,Paris,10.0,0.0,5.7,3.6,60.1,1.0,-6.5,87.84,0.0,54.24,4.1,4.3,8.0,0.0,12.8,12.5,,95.75,970.0,0,Q4
,Male,India,Chennai,10.0,15.0,17.3,3.6,53.8,1.0,-6.5,113.71,53.0,15.0,,20.0,2.0,4.0,,18.1,2.0,1544.51,631.0,0,Q4
36.0,Male,France,Lyon,1.6,23.0,38.8,12.3,49.0,3.0,-6.0,75.35,65.0,37.9,8.6,20.9,4.0,4.0,52.6,28.6,3.0,1288.82,2409.0,0,Q1
18.0,Male,USA,Houston,1.0,6.0,25.2,,55.6,3.0,-7.800000000000001,81.47,77.0,45.12,8.6,14.4,8.0,1.0,24.6,,2.0,901.68,2069.0,0,Q4
,Female,Canada,Montreal,2.1,5.0,16.6,6.7,73.3,2.0,-1.0,90.84,3.0,44.1,4.4,,9.0,3.0,34.1,3.8,3.0,520.91,1109.0,0,Q3
29.0,Female,UK,London,1.1,0.0,20.3,3.1,62.6,3.0,-4.0,116.75,7.0,25.3,8.4,14.4,6.0,4.0,18.2,14.8,3.0,1047.89,0.0,0,Q2
39.0,Female,France,Paris,6.3,0.0,16.0,6.1,56.8,5.0,-6.5,63.16,21.0,81.24,8.8,22.2,2.0,3.0,21.3,13.2,2.0,447.25,3181.0,0,Q4
25.0,Male,USA,Houston,4.5,8.0,28.5,7.5,59.1,4.0,-3.0,110.41,21.0,,4.8,26.7,4.0,8.0,12.1,17.9,5.0,1139.25,,0,Q1
52.0,Female,Australia,Perth,2.6,21.0,23.7,9.2,59.2,,-7.0,62.52,6.0,12.5,3.4,12.7,1.0,0.0,,14.3,,1104.87,822.0,0,Q2
31.0,Female,USA,Phoenix,5.2,6.0,32.7,6.9,41.4,4.0,-8.0,158.32,3.0,31.2,6.5,3.4,7.0,1.0,25.4,15.1,1.0,1750.1,1798.0,0,Q3
,Female,USA,Phoenix,3.3,10.0,,3.6,76.0,2.0,-5.0,78.2,28.0,9.3,10.6,18.5,3.0,0.0,8.6,21.9,3.0,564.49,160.0,0,Q1
46.0,Male,USA,Houston,9.2,13.0,24.2,,46.6,5.0,-7.800000000000001,138.46,1.0,92.04,,17.6,8.0,2.0,7.4,13.8,4.0,1613.93,,0,Q4
42.0,Male,USA,Houston,0.8,30.0,42.6,17.6,41.7,7.0,-7.0,102.37,2.0,,,65.9,3.0,8.0,,39.1,2.0,2748.51,3222.0,0,Q3
41.0,Male,Germany,Munich,0.9,8.0,26.1,6.3,51.4,1.0,-2.0,188.21,32.0,40.0,,6.4,4.0,3.0,5.9,15.7,1.0,1699.82,489.0,0,Q2
59.0,Female,USA,Houston,2.6,26.0,56.7,16.5,31.5,2.0,-2.6,121.08,63.0,31.8,1.7,45.5,2.0,9.0,,33.0,4.0,2692.2,3703.0,0,Q4
20.0,Female,Japan,Nagoya,1.5,8.0,24.7,6.6,62.0,3.0,-4.0,91.08,18.0,14.9,6.6,5.6,6.0,1.0,16.4,2.4,2.0,552.9,1320.0,1,Q1
31.0,Female,USA,New York,1.3,17.0,17.6,5.9,54.8,,-8.0,114.93,48.0,24.2,7.4,0.0,6.0,0.0,0.0,,3.0,871.83,1585.0,0,Q1
18.0,Female,UK,London,0.6,10.0,18.9,3.1,51.8,1.0,-7.800000000000001,164.56,6.0,70.32,5.9,7.0,8.0,0.0,32.7,5.6,2.0,1092.13,893.0,0,Q4
38.0,Male,Australia,Adelaide,5.8,2.0,25.5,6.1,45.7,6.0,-2.0,101.19,11.0,35.8,3.9,31.8,7.0,3.0,24.5,27.6,2.0,1544.98,,0,Q3
42.0,Male,France,Paris,0.8,9.0,22.2,4.3,75.5,3.0,-13.0,114.47,62.0,21.48,4.5,7.2,8.0,2.0,0.0,25.0,4.0,1282.05,1335.0,1,Q4
36.0,Female,USA,Houston,3.3,14.0,32.6,13.8,43.2,2.0,-3.0,72.45,25.0,13.2,6.6,30.7,2.0,4.0,42.9,22.8,3.0,1518.21,3154.0,0,Q3
27.0,Male,India,Chennai,2.1,4.0,19.0,4.4,71.1,,-7.0,286.12,7.0,80.9,10.8,10.1,6.0,1.0,19.3,11.1,2.0,1266.23,569.0,1,Q1
35.0,Female,USA,Houston,4.9,17.0,27.5,14.1,41.6,8.0,-3.0,231.26,,10.7,18.6,26.4,3.0,3.0,41.5,23.0,3.0,6321.85,,0,Q3
44.0,Female,USA,Los Angeles,4.1,24.0,35.3,12.6,44.1,11.0,-8.0,219.96,9.0,63.0,,44.4,2.0,11.0,74.1,28.2,2.0,4925.59,3066.0,0,Q3
